battle_id,date,pok1_id,pok2_id,pokemon_winner_id,trainer_winner_id,gym_id
1,2025-11-27,1,169,169,2171,65
2,2025-08-18,1,197,197,4797,33
3,2025-11-29,1,1107,1107,9202,51
4,2025-02-28,2,779,779,2215,2
5,2025-03-10,2,130,2,406,45
6,2025-04-30,2,607,607,1321,33
7,2025-04-27,3,1086,1086,3768,35
8,2025-09-06,3,943,943,10806,52
9,2025-10-24,3,660,3,9892,56
10,2025-05-29,4,993,4,8215,7
11,2025-10-14,4,679,4,8215,53
12,2025-08-17,4,659,4,8215,9
13,2025-03-23,5,453,453,4801,34
14,2025-06-28,5,173,173,10170,68
15,2025-12-11,5,233,5,10630,23
16,2025-06-04,6,874,874,6561,22
17,2025-08-10,6,1159,1159,5091,55
18,2025-10-18,6,558,6,8176,34
19,2025-08-07,7,177,177,6853,45
20,2025-02-21,7,529,7,8791,14
21,2025-04-27,7,1090,7,8791,59
22,2025-04-12,8,226,8,378,28
23,2025-01-28,8,1147,8,378,12
24,2025-06-14,8,1117,8,378,5
25,2025-08-26,9,10,9,1900,27
26,2025-07-21,9,593,593,11784,54
27,2025-10-20,9,1147,9,1900,65
28,2025-02-06,10,710,710,7296,32
29,2025-12-17,10,1192,1192,3322,63
30,2025-09-10,10,4,4,8215,29
31,2025-10-28,11,83,83,6648,67
32,2025-02-18,11,267,11,9231,23
33,2025-06-20,11,18,11,9231,52
34,2025-04-05,12,394,12,1969,23
35,2025-11-20,12,501,12,1969,4
36,2025-06-18,12,429,429,4091,4
37,2025-04-11,13,1147,13,10203,15
38,2025-09-10,13,923,13,10203,53
39,2025-11-15,13,254,13,10203,52
40,2025-04-24,14,1172,1172,1321,32
41,2025-03-27,14,1126,1126,11828,68
42,2025-09-03,14,792,792,54,2
43,2025-12-29,15,219,219,5844,19
44,2025-03-05,15,551,551,3588,65
45,2025-10-07,15,13,13,10203,59
46,2025-01-23,16,1022,16,2834,6
47,2025-11-04,16,545,545,3044,7
